name,nobluray,time
黑白魔女库伊拉 蓝光原盘下载+高清MKV版/库伊拉 / 黑白魔后(港) / 时尚恶女：库伊拉(台) / 黑白魔女 / 《101忠狗》真人前传 / 库伊拉·德维尔 / Cruella de Vil 2021 Cruella 25.49G,电影,03-01
甘草披萨 WEB-DL版下载/甘草比萨 / 湿底 / Soggy Bottom / The Night of Counting the Years 2021 Licorice Pizza 6.5G,蓝光高清,03-01
犬之力 蓝光高清MKV版/犬山记 2021 The Power of the Dog 5.8G,蓝光高清,03-01
圣母 4K蓝光原盘下载+蓝光高清MKV版/圣欲(港/台) / 圣母玛利亚 / 贝内黛塔 / Sainte Vierge / Blessed Virgin 2021 Benedetta 59G,4K,02-28
音范丝影单|近30年戛纳国际电影节金棕榈奖获奖影片（第45届至第74届 1992-2021 ）蓝光资源！！,影单,02-28
味园Universe 蓝光高清MKV版/极道好声音(台) / La La La Rock 到底 (港) / La La La at Rock Bottom / Misono Universe 2015 味園ユニバース 9.9G,蓝光高清,02-27
斯宾塞 WEB-DL版下载/斯潘塞 / 黛妃(台) / 史宾沙(港) / 史宾赛(台) 2021 Spencer 19.9G,蓝光高清,02-27
白奶牛之歌 WEB-DL版下载/قصیده گاو سفید / Ghasideh Gave Sefid 2020 Ballad of a White Cow 6.6G,蓝光高清,02-27
空白 蓝光高清MKV版/Blank / Intolerance 2021 空白 9.7G,蓝光高清,02-27
神之山岭 蓝光高清MKV版/The Summit of the Gods 2021 Le Sommet Des Dieux 6.5G,蓝光高清,02-27
地下 蓝光原盘下载+高清MKV版/地下社会(台) / 没有天空的都市 / Underground 1995 Подземље 21.2G,电影,02-27
秘密与谎言 蓝光高清MKV版 1996 Secrets & Lies 9.8G,蓝光高清,02-27
麦克白的悲剧 蓝光高清MKV版/Macbeth 2021 The Tragedy of Macbeth 18.0G,蓝光高清,02-26
魔法满屋 4K蓝光原盘下载+高清MKV版/奇幻魔法屋(港) / 音乐的魔法 2021 Encanto 59.0G,4K,02-25
三个月 蓝光高清MKV版/忐忑三月期 2022 Three Months 7.0G,蓝光高清,02-24
手卷烟 蓝光高清MKV版/Winston / Hand Rolled Cigarette 2020 手捲煙 12.0G,蓝光高清,02-24
巴赫曼先生和他的学生 WEB-DL版下载/巴赫曼先生和他的班级 / Mr. Bachmann and His Class 2021 Herr Bachmann und seine Klasse 9.8G,蓝光高清,02-24
迷失1971 蓝光原盘下载+高清MKV版/71暴乱夜(港/台) / 71年 2014 '71 40.2G,电影,02-24
